palavra,quantidade
todo,15
pessoa,15
aqui,14
candidato,14
país,13
querer,13
presidente,12
propor,12
falar,12
brasileiro,11
poder,11
impor,10
gente,10
de,10
mundo,9
Brasil,9
campanha,9
ir,9
federal,9
esse,9
fazer,9
todos,8
ano,8
professor,8
mulher,8
muito,7
conseguir,7
coisa,6
governo,6
agora,6
senhor,6
precisar,6
dizer,6
acabar,6
tanto,6
em,6
gostar,5
solução,5
verdade,5
tempo,5
então,5
tudo,5
chegar,5
eleitoral,5
único,5
homem,5
entender,5
imposto,4
Deus,4
obrigado,4
realmente,4
caso,4
diminuir,4
contar,4
isso,4
dentro,4
Lula,4
assim,4
mudar,4
jamais,4
fico,4
acima,4
qualquer,4
mentira,4
dois,4
Marcos,4
cultura,4
momento,4
político,4
privado,4
deixar,4
real,4
primeiro,4
saber,4
precisa,3
candidata,3
filo,3
educação,3
União,3
seguranço,3
partido,3
Cintra,3
sempre,3
projeto,3
capacidade,3
rua,3
isentar,3
renda,3
além,3
forma,3
criança,3
vice,3
lógico,3
disseminar,3
povo,3
mesmo,3
nome,3
difícil,3
alguém,3
existir,3
briga,3
confusão,3
inflação,3
doar,3
este,3
agradecer,3
outro,3
atendimento,3
aula,3
público,3
passar,3
resolver,3
grande,3
lugar,3
ouvir,3
ver,3
separar,3
bolso,3
começar,3
salário,3
ficar,3
colocar,3
fila,2
confessar,2
iniciativa,2
compr,2
defês,2
importância,2
direito,2
eleitor,2
conhecer,2
Soraya,2
assistir,2
achar,2
brigar,2
ninguém,2
decorrer,2
consulta,2
exame,2
cirurgio,2
gogó,2
complementar,2
vejo,2
tocar,2
caro,2
professora,2
quanto,2
principalmente,2
financiamento,2
valorização,2
relação,2
criação,2
importante,2
Marcelo,2
Rebelo,2
abrir,2
sério,2
falta,2
gastamos,2
merenda,2
somente,2
comer,2
fato,2
merecemo,2
mônico,2
ódio,2
aproveitar,2
extremamente,2
brar,2
dividir,2
atrás,2
contra,2
hoje,2
corrupção,2
moral,2
cara,2
problema,2
propaganda,2
inss,2
mínimo,2
desafio,2
fundo,2
financiar,2
vosso,2
dificuldade,2
nada,2
indignar,2
lixo,2
barreira,2
legítimo,2
defender,2
mandato,2
oportunidade,2
trazer,2
tirar,2
quatro,2
vir,2
sentar,2
debate,2
procedimento,2
viver,2
pouco,2
preocupar,2
escola,2
utilizar,2
grave,2
entregar,2
trabalhar,2
acontecer,2
chatear,2
estar,2
virar,2
olhar,2
usar,2
posto,2
economista,2
custar,2
explicar,2
grupo,2
abaixar,2
nenhum,2
aplicar,2
propostar,1
deu,1
preciso,1
proposta,1
desse,1
conta,1
Educação,1
união,1
segurança,1
parter,1
Partido,1
cintrar,1
política,1
confesso,1
iremo,1
irer,1
iniciativo,1
república,1
repúblico,1
repúblicar,1
compra,1
deixa,1
defesa,1
pergunta,1
pergunto,1
revolucionária,1
revolucionário,1
realidader,1
realidade,1
pública,1
posso,1
paridader,1
paridade,1
vero,1
voltar,1
volta,1
democracia,1
democracio,1
excelência,1
excelêncio,1
autonomia,1
autonomir,1
juliana,1
antes,1
apresentar,1
cumprimentar,1
comparecimento,1
extremo,1
obrigação,1
comparecer,1
covardiar,1
thronicke,1
senadora,1
mato,1
grosso,1
deper,1
sofá,1
último,1
Esperança,1
renovar,1
cada,1
decepção,1
chato,1
escutar,1
juridiquês,1
economês,1
duelar,1
língua,1
trocaremo,1
inovador,1
escolho,1
Simone,1
Tebet,1
enquanto,1
profissional,1
saúde,1
enfrentar,1
corajosamente,1
coronavíru,1
paciente,1
eletivo,1
cirurgia,1
catarata,1
ortopédico,1
cancelar,1
adiar,1
orgulho,1
vacinaçãor,1
bonito,1
papel,1
usuário,1
utilizamos,1
serviço,1
liberal,1
economia,1
executar,1
agilizar,1
catástrofe,1
ar,1
desalento,1
telefone,1
Assunto,1
inglês,1
sala,1
senhora,1
escutem,1
ensino,1
conto,1
far,1
estudar,1
impacto,1
apenas,1
possível,1
proporcionar,1
ponta,1
desvalorizar,1
inúmero,1
analfabetismo,1
funcional,1
Metodologias,1
autodidático,1
aprender,1
sozinha,1
claro,1
durante,1
pandemia,1
programa,1
simples,1
utilizasse,1
método,1
Portugal,1
estatal,1
contratar,1
bom,1
aluno,1
atual,1
prometer,1
privatizar,1
portanto,1
dentre,1
inclusive,1
incluir,1
sistema,1
incluiremos,1
ajudar,1
contrariamente,1
categoria,1
valor,1
atualizar,1
escolar,1
triste,1
demais,1
sequer,1
banheiro,1
caos,1
história,1
bastidor,1
thal,1
repetisseer,1
surpresa,1
acreditar,1
afirmativo,1
boca,1
novamente,1
assustei,1
estupro,1
razão,1
amor,1
devolvessem,1
advogar,1
enter,1
analisar,1
mentir,1
seguinte,1
thaís,1
escolhi,1
espaço,1
solidarizar,1
óbvio,1
adorar,1
cristã,1
pedir,1
polarização,1
amável,1
afável,1
infelizmente,1
tranquilo,1
bandeira,1
branco,1
tchutchucar,1
cima,1
ser,1
tigr,1
incomodar,1
digo,1
vira,1
onça,1
aceito,1
tipo,1
comportamento,1
xingamento,1
dizíar,1
PT,1
manipular,1
manobrar,1
direita,1
esquerdo,1
Centro,1
importar,1
respeitar,1
liberdade,1
religioso,1
permitir,1
vergonhoso,1
evangélico,1
católico,1
perder,1
causa,1
respeito,1
religião,1
vacinar,1
jacaré,1
graças,1
vacinado,1
auxílio,1
emergencial,1
subir,1
senador,1
deputar,1
aguento,1
página,1
misturar,1
atriz,1
disfarçar,1
certeza,1
jeito,1
reforcem,1
delegar,1
Luiz,1
Inácio,1
Silva,1
sofrer,1
econômico,1
desemprego,1
cobrança,1
excessivo,1
agrar,1
impedir,1
novo,1
trabalho,1
rouba,1
parte,1
família,1
governar,1
carga,1
tributário,1
melhorar,1
plano,1
corrupto,1
lir,1
valer,1
digital,1
caminhar,1
mofar,1
excluir,1
retirar,1
tributo,1
trocar,1
alíquota,1
aumentar,1
ganha,1
descontar,1
sobrar,1
milagre,1
estudo,1
discutir,1
comigo,1
patrimônio,1
doador,1
nunca,1
acesso,1
ainda,1
necessário,1
Estados,1
Unidos,1
próprio,1
aparecer,1
onde,1
financiarmos,1
senão,1
governador,1
eleitos,1
máquina,1
preser,1
nacional,1
tratar,1
propagando,1
Bolsonaro,1
whatsapp,1
catando,1
fuçar,1
coragem,1
rabo,1
prender,1
explicação,1
baixar,1
estudada,1
afinco,1
harvard,1
livro,1
escritos,1
ipiranga,1
princípio,1
essencialidade,1
videogame,1
arroz,1
feijão,1
leite,1
sinto,1
fome,1
lutar,1
porta,1
coronelismo,1
condiçãor,1
romper,1
rompi,1
cadeira,1
imaginar,1
pouquinho,1
número,1
total,1
eleita,1
centavo,1
recursar,1
voluntário,1
senar,1
armamento,1
votei,1
favor,1
autodefês,1
possibilidade,1
meio,1
rural,1
arma,1
sucatear,1
complicado,1
moro,1
fronteirar,1
fazenr,1
força,1
investimento,1
polícia,1
diretor,1
geral,1
intercalar,1
justamente,1
interferêncer,1
jornal,1
Folha,1
Paulo,1
portal,1
debater,1
luciano,1
bivar,1
Antônio,1
rueda,1
exat,1
humana,1
perfeito,1
equilíbrio,1
consiga,1
levar,1
adiante,1
estruturante,1
imediatamente,1
preço,1
alimento,1
dignidade,1
receber,1
cinco,1
madura,1
debata,1
Conosco,1
digar,1
atoleiro,1
amigo,1
traçar,1
cuidar,1
lado,1
vida,1
reclamar,1
critico,1
trago,1
